geo_cod,geo_dsg,municipio,dtmnfr_codes
112030202,Aborim,Barcelos,030202
112030203,Adães,Barcelos,030203
112030205,Airó,Barcelos,030205
112030206,Aldreu,Barcelos,030206
112030208,Alvelos,Barcelos,030208
112030209,Arcozelo,Barcelos,030209
112030210,Areias,Barcelos,030210
112030212,Balugães,Barcelos,030212
112030213,Barcelinhos,Barcelos,030213
112030215,Barqueiros,Barcelos,030215
112030216,Cambeses,Barcelos,030216
112030218,Carapeços,Barcelos,030218
112030220,Carvalhal,Barcelos,030220
112030221,Carvalhas,Barcelos,030221
112030224,Cossourado,Barcelos,030224
112030228,Cristelo,Barcelos,030228
112030234,Fornelos,Barcelos,030234
112030235,Fragoso,Barcelos,030235
112030268,Galegos (Santa Maria),Barcelos,030268
112030272,Galegos (São Martinho),Barcelos,030272
112030237,Gilmonde,Barcelos,030237
112030242,Lama,Barcelos,030242
112030243,Lijó,Barcelos,030243
112030244,Macieira de Rates,Barcelos,030244
112030245,Manhente,Barcelos,030245
112030247,Martim,Barcelos,030247
112030252,Moure,Barcelos,030252
112030254,Oliveira,Barcelos,030254
112030255,Palme,Barcelos,030255
112030256,Panque,Barcelos,030256
112030257,Paradela,Barcelos,030257
112030259,Pereira,Barcelos,030259
112030260,Perelhal,Barcelos,030260
112030261,Pousa,Barcelos,030261
112030263,Remelhe,Barcelos,030263
112030265,Rio Covo (Santa Eugénia),Barcelos,030265
112030264,Roriz,Barcelos,030264
112030279,Silva,Barcelos,030279
112030277,Tamel (São Veríssimo),Barcelos,030277
112030282,Ucha,Barcelos,030282
112030290,União das freguesias de Alheira e Igreja Nova,Barcelos,030290
112030291,União das freguesias de Alvito (São Pedro e São Martinho) e Couto,Barcelos,030291
112030292,União das freguesias de Areias de Vilar e Encourados,Barcelos,030292
112030294,União das freguesias de Campo e Tamel (São Pedro Fins),Barcelos,030294
112030295,União das freguesias de Carreira e Fonte Coberta,Barcelos,030295
112030296,"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",Barcelos,030296
112030297,União das freguesias de Creixomil e Mariz,Barcelos,030297
112030298,União das freguesias de Durrães e Tregosa,Barcelos,030298
112030299,União das freguesias de Gamil e Midões,Barcelos,030299
1120302FA,"União das freguesias de Milhazes, Vilar de Figos e Faria",Barcelos,0302FA
1120302FB,União das freguesias de Negreiros e Chavão,Barcelos,0302FB
1120302FC,União das freguesias de Quintiães e Aguiar,Barcelos,0302FC
1120302FD,União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),Barcelos,0302FD
1120302FE,União das freguesias de Silveiros e Rio Covo (Santa Eulália),Barcelos,0302FK;0302FJ
1120302FF,União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,Barcelos,0302FF
1120302FG,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",Barcelos,0302FG
1120302FH,União das freguesias de Vila Cova e Feitos,Barcelos,0302FH
112030283,Várzea,Barcelos,030283
112030287,Vila Seca,Barcelos,030287
112030301,Adaúfe,Braga,030301
112030349,Braga (São Vicente),Braga,030349
112030351,Braga (São Vítor),Braga,030351
112030312,Espinho,Braga,030312
